name,slug
Annotation,annotation
Bibliographic References Management,bibliographic-references-management
Commenting,commenting
Communication And Sharing,communication-and-sharing
Data And Code Sharing,data-and-code-sharing
Endorsement,endorsement
General Publication,general-publication
Help Desk,help-desk
Indexing,indexing
Manuscript Formatting,manuscript-formatting
Metrics,metrics
Other Function,other-function
Peer Review,peer-review
Plagiarism Detection,plagiarism-detection
Preservation,preservation
Researcher Identification,researcher-identification
Revision,revision
Revision Follow-up,revision-follow-up
Search,search
Text Mining,text-mining
User Forum,user-forum
Writing,writing